"节点","url","Url正则","title","Title正则","keywords"
,,,,,
"西祠旅游首页","http://www.xici.net/travel/","^/travel/$","【西祠旅游】旅游度假_国内游_出境游_旅游攻略_资讯_西祠胡同",,"西祠旅游,旅游度假,国内游,出境游,周边游,旅游攻略,旅游资讯"
"国内省市景点索引","http://www.xici.net/asia/china/hebei/travel/","^/[a-z]+/[a-z]+/[a-z]+/travel/$","【国内旅游】国内旅游景点大全_旅游线路推荐_西祠胡同",,"国内游,国内旅游,旅游景点,线路,美食,住宿,攻略"
"城市景点列表","http://www.xici.net/asia/china/hebei/1/travel.htm","^/[a-z]+/[a-z]+/[a-z]+/\d+/travel\\.htm$","【河北旅游】河北旅游指南_旅游景点_线路推荐_西祠胡同",,"河北旅游,指南,线路,景点,住宿,美食"
"洲区域景点索引","http://www.xici.net/namerica/travel/","^/[a-z]+/travel/$","【美洲】美洲旅游景点大全_旅游线路推荐_西祠胡同",,"非洲/亚洲/北美洲/南美洲/大洋洲/欧洲,旅游景点,线路"
"国家景点列表","http://www.xici.net/namerica/canada/travel/","^/[a-z]+/[a-z]+/travel/$","【加拿大】加拿大旅游景点大全_旅游线路推荐_西祠胡同",,"加拿大旅游,线路,旅游景点"
"景点详细页","http://www.xici.net/s76772/","^/s\d+\\.htm$","【温哥华旅游】温哥华旅游指南_旅游景点_线路推荐_西祠胡同",,"温哥华旅游,指南,线路,景点,美食,住宿"
"旅游论坛","http://www.xici.net/travel/home.asp","^/travel/home\.asp$","【旅游论坛】社区_bbs_西祠旅游_西祠胡同",,"旅游论坛,社区,bbs,西祠旅游"
"旅游热门论坛列表","http://www.xici.net/s/?t=1&k=%C2%C3%D3%CE&st=0","^/s/?t=1&k=%C2%C3%D3%CE&st=0$","【旅游热门论坛】社区_bbs_西祠旅游_西祠胡同",,"旅游论坛,社区,bbs,西祠旅游"
"帖子页","http://www.xici.net/b720731/",,"【旅游爱好者】南京旅游论坛_论坛_社区_bbs_西祠旅游_西祠胡同",,"旅游爱好者,南京旅游论坛,论坛,社区,bbs,西祠旅游"
"帖子详情页","http://www.xici.net/d178023532.htm",,"【激情川藏15日行记】旅游爱好者_南京旅游论坛_论坛_社区_bbs_西祠旅游_西祠胡同",,"旅游爱好者,南京旅游论坛,论坛,社区,bbs,西祠旅游"
"徒步","http://www.xici.net/t_%CD%BD%B2%BD.htm","^/t_%CD%BD%B2%BD\.htm$","【徒步】论坛_社区_bbs_西祠旅游_西祠胡同",,"徒步,论坛,社区,bbs,徒步图片,西祠旅游,西祠徒步"
"户外","http://www.xici.net/t_%BB%A7%CD%E2.htm","^/t_%BB%A7%CD%E2\.htm$","【户外】论坛_社区_bbs_西祠旅游_西祠胡同",,"户外,论坛,社区,bbs,户外图片,西祠旅游,西祠户外"
"驴友","http://www.xici.net/t_%C2%BF%D3%D1.htm","^/t_%C2%BF%D3%D1\.htm$","【驴友】论坛_社区_bbs_西祠旅游_西祠胡同",,"驴友,论坛,社区,bbs,驴友图片,西祠旅游,西祠驴友"
"自由行","http://www.xici.net/t_%D7%D4%D3%C9%D0%D0.htm","^/t_%D7%D4%D3%C9%D0%D0\.htm$","【自由行】论坛_社区_bbs_西祠旅游_西祠胡同",,"自由行,论坛,社区,bbs,自由行图片,西祠旅游,西祠自由行"
"自驾游","http://www.xici.net/t_%D7%D4%BC%DD%D3%CE.htm","^/t_%D7%D4%BC%DD%D3%CE\.htm$","【自驾游】论坛_社区_bbs_西祠旅游_西祠胡同",,"自驾游,论坛,社区,bbs,自驾游图片,西祠旅游,西祠自驾游"
"户外用品","http://www.xici.net/t_%BB%A7%CD%E2%D3%C3%C6%B7.htm","^/t_%BB%A7%CD%E2%D3%C3%C6%B7\.htm$","【户外用品】论坛_社区_bbs_西祠旅游_西祠胡同",,"户外用品,论坛,社区,bbs,户外用品图片,西祠旅游,西祠户外用品"
"旅游服务","http://www.xici.net/t_%C2%C3%D3%CE%B7%FE%CE%F1.htm","^/t_%C2%C3%D3%CE%B7%FE%CE%F1\.htm$","【旅游服务】论坛_社区_bbs_西祠旅游_西祠胡同",,"旅游服务,论坛,社区,bbs,旅游服务图片,西祠旅游,西祠旅游服务"
"论坛排行榜","http://www.xici.net/clubsort.asp","^/clubsort\.asp$","【排行榜】论坛_社区_bbs_俱乐部_西祠胡同",,"排行榜,社区,论坛,bbs,俱乐部"
,,,,,
"媒体首页","http://www.xici.net/media/","^/media/$","【媒体论坛】社区_bbs_西祠媒体_西祠胡同",,"媒体论坛,社区,bbs,西祠媒体"
"热门媒体论坛列表","http://www.xici.net/s/?t=1&k=%C3%BD%CC%E5&st=0","^/s/?t=1&k=%C3%BD%CC%E5&st=0$","【媒体热门论坛】社区_bbs_西祠媒体_西祠胡同",,"媒体论坛,社区,bbs,西祠媒体"
"帖子页","http://www.xici.net/b614980/",,"【苏州媒体圈】苏州媒体论坛_论坛_社区_西祠媒体_bbs_西祠胡同",,"苏州媒体圈,苏州媒体论坛,论坛,社区,bbs,西祠媒体"
"帖子详细页","http://www.xici.net/d177648525.htm",,"【苏州电视台要有新气象】苏州媒体圈_苏州媒体论坛_论坛_社区_西祠媒体_bbs_西祠胡同",,"苏州媒体圈,苏州媒体论坛,论坛,社区,bbs,西祠媒体"
"电视台","http://www.xici.net/t_%B5%E7%CA%D3%CC%A8.htm","^/t_%B5%E7%CA%D3%CC%A8\.htm$","【电视台】社区_bbs_西祠媒体_西祠胡同",,"电视台,论坛,社区,bbs,电视台图片,西祠电视台"
"电台 ","http://www.xici.net/t_%B5%E7%CC%A8.htm","^/t_%B5%E7%CC%A8\.htm$","【电台】社区_bbs_西祠媒体_西祠胡同",,"电台,论坛,社区,bbs,电台图片,西祠电台"
"报纸","http://www.xici.net/t_%B1%A8%D6%BD.htm","^/t_%B1%A8%D6%BD\.htm$","【报纸】社区_bbs_西祠媒体_西祠胡同",,"报纸,论坛,社区,bbs,报纸图片,西祠报纸"
"杂志","http://www.xici.net/t_%D4%D3%D6%BE.htm","^/t_%D4%D3%D6%BE\.htm$","【杂志】社区_bbs_西祠媒体_西祠胡同",,"杂志,论坛,社区,bbs,杂志图片,西祠杂志"
"媒体服务","http://www.xici.net/t_%C3%BD%CC%E5%B7%FE%CE%F1.htm","^/t_%C3%BD%CC%E5%B7%FE%CE%F1\.htm$","【媒体服务】社区_bbs_西祠媒体_西祠胡同",,"媒体服务,论坛,社区,bbs,媒体服务图片,西祠媒体服务"
,,,,,
"美食主页","http://www.xici.net/food/","^/food/$","【美食论坛】社区_bbs_西祠美食_西祠胡同",,"美食论坛,社区,bbs,西祠美食"
